date;valeur
2019-07;110.65
2019-08;106.34
2019-09;106.37
2019-10;108.34
2019-11;108.69
2019-12;103.39
2020-01;106.88
2020-02;108.93
2020-03;54.63
2020-04;27.7
2020-05;84.62
2020-06;111.67
2020-07;114.96
2020-08;115.12
2020-09;113.96
2020-10;114.26
2020-11;111.0
2020-12;108.98
2021-01;111.75
2021-02;107.52
2021-03;107.31
2021-04;106.81
2021-05;104.34
2021-06;105.22
2021-07;103.35
2021-08;104.41
2021-09;105.78
2021-10;104.57
2021-11;102.86
2021-12;104.72
2022-01;112.93
2022-02;108.42
2022-03;108.09
2022-04;106.71
2022-05;108.65
2022-06;106.17
2022-07;100.94
2022-08;104.54
2022-09;102.87
2022-10;98.64
2022-11;105.74
2022-12;105.88
2023-01;102.06
2023-02;101.66
